did,louvain_community
did:plc:b5hg57zuxzyhz5istyqrb7oq,1
did:plc:hmthpslcz3u7y6kr636cshey,4
did:plc:rjm64q6dtx37nnbis42pdiex,1
did:plc:66b6bzgql6gleqzatbpg24jb,3
did:plc:k4jt6heuiamymgi46yeuxtpt,0
did:plc:7dcdmvz5vz6xodudzwvkcfxu,1
did:plc:7elp3lh3d3j2oh2qlo3u347w,6
did:plc:4ak2xuwx2cg4zisnd4moilly,6
did:plc:km24mkhrs62dpuh422u65mj4,6
did:plc:eqb3aeta63upwqfswyblqks2,6
did:plc:dhi2jnt37litaxjvzkfe6wyq,6
did:plc:dldvlajuevnzcckeoym74k72,6
did:plc:wvzauixy3ewxxtt2bhm6ddjf,6
did:plc:45h357am6vviigcixevbuhr7,6
did:plc:tbezmmltvdtjthfeaftfoop6,1
did:plc:dcpvyzm4ou74j6zcz67il5fk,5
did:plc:7kyydty7ke3t5n2mbejzjxwi,4
did:plc:ynybdjdjqw7easwamhg4w3sr,4
did:plc:xnwnevpe26bt3qysncc7eixp,6
did:plc:35ycejprfrigkum4qtmumkxj,3
did:plc:s24o3i2gmddihekekk6tu6ac,1
did:plc:wcoyo6v6krk6wyfcany4zmic,1
did:plc:kahyzbnoef4xfuoldtd4eork,1
did:plc:3gsq37e7e2eecwqiiuixg4cg,1
did:plc:frsgwnofwno2huewodkaeez2,1
did:plc:ya43saw5vyvgqkkey63ialpy,1
did:plc:wry6j3qy7pxpdqa42etvc6tq,1
did:plc:4bhbjdt2wlv3pd5d3hete76q,1
did:plc:axnx42ylmuvksdwsi6fefxud,1
did:plc:ous2kjcljsemde7ski7to3e2,1
did:plc:zer4ollcjhzntp6hqaterm6e,1
did:plc:lzil62mmkvmotaqcy6jtkm3s,6
did:plc:vqa24h7qxo42efmfcg2exkgt,1
did:plc:vevq4el5ludrygf4hhentmoz,1
did:plc:34csxuigzavliy66grvheqor,1
did:plc:76hipw54ixc5xufudtz2d7gc,1
did:plc:6h4yyetwtlai7c6acaucnrcf,1
did:plc:2wweeocgghojk7w3a2h2umrk,1
did:plc:rvo3qjzxx4tfpwpyzie7x33g,1
did:plc:trsknsl6boq3rrg4of5emb66,1
did:plc:63ezulkb3amfzgpanfp2u5br,1
did:plc:2qm5ghxfhbodeplh5jsgb4du,1
did:plc:k77thj6fybuvz6sej3uddxdw,1
did:plc:ngiusdsidn6wf47skjyozjkt,6
did:plc:ua7v7oruagwntb6l4szhik5m,6
did:plc:va5sthipulczpm5ehgs7dwpq,1
did:plc:wpi7wfgmhjzodg624avdfgvx,1
did:plc:xx7zubigbbdzuq2elzumd5s5,1
did:plc:rwhu6judhxozsldm3cbgkn7f,1
did:plc:c76slfgh7o6eh34xbgbgdvla,1
did:plc:jua3x4npnpftnoy5bdevdrhx,1
did:plc:lkchpy54oravz2nyhkdl45ym,1
did:plc:ljmtczdet75julxrokr52zh2,1
did:plc:75l7jiwmiq43lkq6qkeih7cw,1
did:plc:zij25ev763zos5cdeo5ybqqa,1
did:plc:6xil5qahytnfvusrkwdw2ofw,1
did:plc:6iks56hjjzciwoz2lhilk677,1
did:plc:ne3zbr3lnweluzwuhzz4yqto,1
did:plc:iwkxgisuabmctzfjrwjc6sgp,1
did:plc:uyemf6niinxjzirk7pbzzt3j,1
did:plc:7bv57nb3rnokojsdba3qbcur,1
did:plc:dvfeun7qtx2nmhglvjyxovex,1
did:plc:xalxqffcayyidntafmptzhta,1
did:plc:zi3736s2knwavdx6yefrwsfw,1
did:plc:rvuee746th6j5qacfrfc7jed,1
did:plc:yurczx5d7ii3laavi2mneulv,1
did:plc:bemuqswzftdeiz6kdwmyaddl,1
did:plc:56yymeubg3r4lxnf7lidri5a,1
did:plc:7gk35tkrkugkdcqdteviyara,1
did:plc:2d6kuvaoa7qi6bq5cwq4isee,1
did:plc:3gczycymg3cd7u5ovmtyu7xi,1
did:plc:ed7aj6p4sxalydxrwi5dlvge,1
did:plc:uvjdlzevg3j633zxtdljmh62,1
did:plc:rvso2itxklrx7kn5qrwtkuy6,1
did:plc:a6xlgsuib2egly3rfcaak373,1
did:plc:hgmiuopjoycuamerzzo7jli3,1
did:plc:wmu36zkf536zdfixvsmk6wm5,1
did:plc:rizowwxtohhynnmpmyexiy4q,1
did:plc:kpiyzopccrnnfddrz5ule6an,1
did:plc:qrw2fun5ahsqvx73k5geleme,1
did:plc:nvm7cc2o4lh7uibtv2ujsa4e,1
did:plc:mpoxsaax7r5rs2tgeh56nqhn,1
did:plc:lwszjazwq3nliquvxg6l332b,1
did:plc:673nrxjkogbsexpyd7xugggh,1
did:plc:5lpe3ykutq2xpxiv2pa7i5oc,1
did:plc:hcvtqgog57nytojykcma54ip,1
did:plc:yps5z3qplqk46gbzmux4atou,1
did:plc:nxaaam6hpd62fwysg3wlkkwf,1
did:plc:q4yfl5wbqmbgs4mpoz23sl4i,1
did:plc:2nk6e6oa4tzibu74bmxx4q4l,1
did:plc:m4srbzgzfgb42o6k6fbbmmms,1
did:plc:fykx5x7ujdv3xnfn6nawisgv,1
did:plc:zqjl4krx2tuw2oe7auqmlfd7,1
did:plc:cdozezupfvkxwkvzcy5it6lg,1
