did,handle,displayName,followersCount,followsCount,postsCount,createdAt
did:plc:b5hg57zuxzyhz5istyqrb7oq,drtwilamoon.bsky.social,Dr. Twila Moon,462,269,20,2025-10-13T20:48:08.875Z
did:plc:t44lwtnu6ugg5ywm4ohq23xa,lindstroma.bsky.social,Amanda Lindstrom,8613,2620,19,2023-11-15T06:12:38.812Z
did:plc:jphsaa46nfaeh75we27foufc,chantallyons.bsky.social,Chantal Lyons,3224,367,206,2023-05-08T14:05:04.897Z
did:plc:fud744biivsyptnmhfqrrwkx,joeloclimate.bsky.social,Joe Lo,6744,644,586,2023-08-30T10:14:30.455Z
did:plc:6hitpq72vxj2zdmoidncumji,edythparker.bsky.social,Edyth Parker,339,710,35,2024-06-21T07:11:37.741Z
did:plc:k3hh67cjwjd43o3abwbggzk3,malberti.bsky.social,marina alberti,2318,189,34,2023-11-24T20:12:15.587Z
did:plc:ylvjkvcjyosjqhn7lsoxbf3x,gettoknownature.bsky.social,Get To Know Nature,66840,890,43764,2023-05-05T18:17:42.483Z
did:plc:llqbczc6w5m7hnqufyzcqzhr,ewcss.info,Evan Spotte-Smith (they/them),3837,2191,508,2023-08-12T22:01:14.243Z
did:plc:r3zcfgeonozvkkjyi6dh2yp5,redlipblenny.bsky.social,Isabelle Côté,3647,894,3,2023-08-13T22:02:12.790Z
did:plc:yy2mduwa64cqkfbwu7xc65w4,nschawor.bsky.social,Natalie Schaworonkow,1381,570,316,2023-09-10T16:21:19.302Z
did:plc:gvfy7g3dknprid2ajzt3kmc3,anti-knowledge.com,Christian Schneider,1139,390,1432,2023-08-07T18:41:11.098Z
did:plc:jatct34hkvxo6cvsfcq7kamp,godwinobi.bsky.social,Godwin,64,436,8,2024-08-18T03:01:18.787Z
did:plc:vlkiuia3tzyqqdwmgk35iqnb,leebillings.bsky.social,Lee Billings,2575,500,264,2023-05-15T16:22:56.552Z
did:plc:amwz62pqxf4ko73oj2txtnqc,ericaeschultz.bsky.social,Erica Schultz,88,40,0,2024-11-13T13:13:59.786Z
did:plc:m5f46bw3s4q2mcqvi2hi2umm,tobyabgreen.bsky.social,Toby Green,531,566,10,2024-08-14T07:29:32.286Z
did:plc:cxvl4erbht7in2gmkjnfhdfu,egalarch.bsky.social,Dr Emily Gal,349,125,29,2024-11-15T10:31:22.439Z
did:plc:2darfo36xds4oznvip7x2ux7,mollyknight.bsky.social,Molly Knight,119996,415,20701,2023-04-28T00:04:46.432Z
did:plc:jx3a42zpawyjvcanzd2d6jac,jenniferwinter.bsky.social,Jennifer Winter,5538,12,1,2023-10-06T04:20:26.014Z
did:plc:ootkfblsb6z6apx5fbbuxiaz,angelooah.bsky.social,Angela McLaughlin,1071,2211,18,2024-11-14T03:56:43.181Z
